@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,38,0,375,0,1,1,0.09201,1,0.90799,0.168514,1,1,0
1,38,0,374,1,0.997333,1,0.092233,1,0.907767,0.168889,0.997579,1.002427,0
2,38,0,373,2,0.994667,1,0.092457,1,0.907543,0.169265,0.995157,1.004866,0
3,38,0,372,3,0.992,1,0.092683,1,0.907317,0.169643,0.992736,1.007317,0
4,38,0,371,4,0.989333,1,0.09291,1,0.90709,0.170022,0.990315,1.00978,0
5,38,0,370,5,0.986667,1,0.093137,1,0.906863,0.170404,0.987893,1.012255,0
6,38,0,369,6,0.984,1,0.093366,1,0.906634,0.170787,0.985472,1.014742,0
7,38,0,368,7,0.981333,1,0.093596,1,0.906404,0.171171,0.983051,1.017241,0
8,38,0,367,8,0.978667,1,0.093827,1,0.906173,0.171558,0.98063,1.019753,0
9,38,0,366,9,0.976,1,0.094059,1,0.905941,0.171946,0.978208,1.022277,0
10,38,0,365,10,0.973333,1,0.094293,1,0.905707,0.172336,0.975787,1.024814,0
11,38,0,364,11,0.970667,1,0.094527,1,0.905473,0.172727,0.973366,1.027363,0
12,38,0,363,12,0.968,1,0.094763,1,0.905237,0.173121,0.970944,1.029925,0
13,38,0,362,13,0.965333,1,0.095,1,0.905,0.173516,0.968523,1.0325,0
14,38,0,361,14,0.962667,1,0.095238,1,0.904762,0.173913,0.966102,1.035088,0
15,38,0,360,15,0.96,1,0.095477,1,0.904523,0.174312,0.96368,1.037688,0
16,38,0,359,16,0.957333,1,0.095718,1,0.904282,0.174713,0.961259,1.040302,0
17,38,0,358,17,0.954667,1,0.09596,1,0.90404,0.175115,0.958838,1.042929,0
18,38,0,357,18,0.952,1,0.096203,1,0.903797,0.17552,0.956416,1.04557,0
19,38,0,356,19,0.949333,1,0.096447,1,0.903553,0.175926,0.953995,1.048223,0
20,38,0,355,20,0.946667,1,0.096692,1,0.903308,0.176334,0.951574,1.050891,0
21,38,0,354,21,0.944,1,0.096939,1,0.903061,0.176744,0.949153,1.053571,0
22,38,0,353,22,0.941333,1,0.097187,1,0.902813,0.177156,0.946731,1.056266,0
23,38,0,352,23,0.938667,1,0.097436,1,0.902564,0.17757,0.94431,1.058974,0
24,38,0,351,24,0.936,1,0.097686,1,0.902314,0.177986,0.941889,1.061697,0
25,38,0,350,25,0.933333,1,0.097938,1,0.902062,0.178404,0.939467,1.064433,0
26,38,0,349,26,0.930667,1,0.098191,1,0.901809,0.178824,0.937046,1.067183,0
27,38,0,348,27,0.928,1,0.098446,1,0.901554,0.179245,0.934625,1.069948,0
28,38,0,347,28,0.925333,1,0.098701,1,0.901299,0.179669,0.932203,1.072727,0
29,38,0,346,29,0.922667,1,0.098958,1,0.901042,0.180095,0.929782,1.075521,0
30,38,0,345,30,0.92,1,0.099217,1,0.900783,0.180523,0.927361,1.078329,0
31,38,0,344,31,0.917333,1,0.099476,1,0.900524,0.180952,0.924939,1.081152,0
32,38,0,343,32,0.914667,1,0.099738,1,0.900262,0.181384,0.922518,1.08399,0
33,38,0,342,33,0.912,1,0.1,1,0.9,0.181818,0.920097,1.086842,0
34,38,0,341,34,0.909333,1,0.100264,1,0.899736,0.182254,0.917676,1.08971,0
35,38,0,340,35,0.906667,1,0.100529,1,0.899471,0.182692,0.915254,1.092593,0.000001
36,38,0,339,36,0.904,1,0.100796,1,0.899204,0.183133,0.912833,1.095491,0.000001
37,38,0,338,37,0.901333,1,0.101064,1,0.898936,0.183575,0.910412,1.098404,0.000002
38,38,0,337,38,0.898667,1,0.101333,1,0.898667,0.184019,0.90799,1.101333,0.000002
39,38,0,336,39,0.896,1,0.101604,1,0.898396,0.184466,0.905569,1.104278,0.000003
40,38,0,335,40,0.893333,1,0.101877,1,0.898123,0.184915,0.903148,1.107239,0.000004
41,38,0,334,41,0.890667,1,0.102151,1,0.897849,0.185366,0.900726,1.110215,0.000004
42,38,0,333,42,0.888,1,0.102426,1,0.897574,0.185819,0.898305,1.113208,0.000004
43,38,0,332,43,0.885333,1,0.102703,1,0.897297,0.186275,0.895884,1.116216,0.000005
44,38,0,331,44,0.882667,1,0.102981,1,0.897019,0.186732,0.893462,1.119241,0.000006
45,38,0,330,45,0.88,1,0.103261,1,0.896739,0.187192,0.891041,1.122283,0.000007
46,38,0,329,46,0.877333,1,0.103542,1,0.896458,0.187654,0.88862,1.125341,0.00001
47,38,0,328,47,0.874667,1,0.103825,1,0.896175,0.188119,0.886199,1.128415,0.000011
48,38,0,327,48,0.872,1,0.10411,1,0.89589,0.188586,0.883777,1.131507,0.000013
49,38,0,326,49,0.869333,1,0.104396,1,0.895604,0.189055,0.881356,1.134615,0.000015
50,38,0,325,50,0.866667,1,0.104683,1,0.895317,0.189526,0.878935,1.137741,0.000024
51,38,0,324,51,0.864,1,0.104972,1,0.895028,0.19,0.876513,1.140884,0.000027
52,38,0,323,52,0.861333,1,0.105263,1,0.894737,0.190476,0.874092,1.144044,0.000028
53,38,0,322,53,0.858667,1,0.105556,1,0.894444,0.190955,0.871671,1.147222,0.000028
54,38,0,321,54,0.856,1,0.10585,1,0.89415,0.191436,0.869249,1.150418,0.000029
55,38,0,320,55,0.853333,1,0.106145,1,0.893855,0.191919,0.866828,1.153631,0.00003
56,38,0,319,56,0.850667,1,0.106443,1,0.893557,0.192405,0.864407,1.156863,0.00003
57,38,0,318,57,0.848,1,0.106742,1,0.893258,0.192893,0.861985,1.160112,0.00003
58,38,0,317,58,0.845333,1,0.107042,1,0.892958,0.193384,0.859564,1.16338,0.00003
59,38,0,316,59,0.842667,1,0.107345,1,0.892655,0.193878,0.857143,1.166667,0.000031
60,38,0,315,60,0.84,1,0.107649,1,0.892351,0.194373,0.854722,1.169972,0.000034
61,38,0,314,61,0.837333,1,0.107955,1,0.892045,0.194872,0.8523,1.173295,0.000034
62,38,0,313,62,0.834667,1,0.108262,1,0.891738,0.195373,0.849879,1.176638,0.000037
63,38,0,312,63,0.832,1,0.108571,1,0.891429,0.195876,0.847458,1.18,0.00004
