@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,48,0,365,0,1,1,0.116223,1,0.883777,0.208243,1,1,0
1,48,0,364,1,0.99726,1,0.116505,1,0.883495,0.208696,0.997579,1.002427,0
2,48,0,363,2,0.994521,1,0.116788,1,0.883212,0.20915,0.995157,1.004866,0
3,48,0,362,3,0.991781,1,0.117073,1,0.882927,0.209607,0.992736,1.007317,0
4,48,0,361,4,0.989041,1,0.117359,1,0.882641,0.210066,0.990315,1.00978,0
5,48,0,360,5,0.986301,1,0.117647,1,0.882353,0.210526,0.987893,1.012255,0
6,48,0,359,6,0.983562,1,0.117936,1,0.882064,0.210989,0.985472,1.014742,0
7,48,0,358,7,0.980822,1,0.118227,1,0.881773,0.211454,0.983051,1.017241,0
8,48,0,357,8,0.978082,1,0.118519,1,0.881481,0.211921,0.98063,1.019753,0
9,48,0,356,9,0.975342,1,0.118812,1,0.881188,0.212389,0.978208,1.022277,0
10,48,0,355,10,0.972603,1,0.119107,1,0.880893,0.21286,0.975787,1.024814,0.000004
11,48,0,354,11,0.969863,1,0.119403,1,0.880597,0.213333,0.973366,1.027363,0.000005
12,48,0,353,12,0.967123,1,0.119701,1,0.880299,0.213808,0.970944,1.029925,0.000005
13,48,0,352,13,0.964384,1,0.12,1,0.88,0.214286,0.968523,1.0325,0.000005
14,48,0,351,14,0.961644,1,0.120301,1,0.879699,0.214765,0.966102,1.035088,0.000008
15,48,0,350,15,0.958904,1,0.120603,1,0.879397,0.215247,0.96368,1.037688,0.000009
16,48,0,349,16,0.956164,1,0.120907,1,0.879093,0.21573,0.961259,1.040302,0.000009
17,48,0,348,17,0.953425,1,0.121212,1,0.878788,0.216216,0.958838,1.042929,0.00001
18,48,0,347,18,0.950685,1,0.121519,1,0.878481,0.216704,0.956416,1.04557,0.000016
19,48,0,346,19,0.947945,1,0.121827,1,0.878173,0.217195,0.953995,1.048223,0.000016
20,48,0,345,20,0.945205,1,0.122137,1,0.877863,0.217687,0.951574,1.050891,0.000016
21,48,0,344,21,0.942466,1,0.122449,1,0.877551,0.218182,0.949153,1.053571,0.000017
22,48,0,343,22,0.939726,1,0.122762,1,0.877238,0.218679,0.946731,1.056266,0.000017
23,48,0,342,23,0.936986,1,0.123077,1,0.876923,0.219178,0.94431,1.058974,0.000023
24,48,0,341,24,0.934247,1,0.123393,1,0.876607,0.21968,0.941889,1.061697,0.000025
25,47,1,341,24,0.934247,0.979167,0.121134,0.979167,0.878866,0.215596,0.939467,1.042257,0.000029
26,47,1,340,25,0.931507,0.979167,0.121447,0.979167,0.878553,0.216092,0.937046,1.04495,0.00003
27,47,1,339,26,0.928767,0.979167,0.121762,0.979167,0.878238,0.21659,0.934625,1.047658,0.000039
28,47,1,338,27,0.926027,0.979167,0.122078,0.979167,0.877922,0.21709,0.932203,1.050379,0.000041
29,47,1,337,28,0.923288,0.979167,0.122396,0.979167,0.877604,0.217593,0.929782,1.053114,0.000043
30,47,1,336,29,0.920548,0.979167,0.122715,0.979167,0.877285,0.218097,0.927361,1.055864,0.000045
31,47,1,335,30,0.917808,0.979167,0.123037,0.979167,0.876963,0.218605,0.924939,1.058628,0.00005
32,47,1,334,31,0.915068,0.979167,0.12336,0.979167,0.87664,0.219114,0.922518,1.061406,0.00005
33,47,1,333,32,0.912329,0.979167,0.123684,0.979167,0.876316,0.219626,0.920097,1.0642,0.000076
34,47,1,332,33,0.909589,0.979167,0.124011,0.979167,0.875989,0.220141,0.917676,1.067007,0.000078
35,47,1,331,34,0.906849,0.979167,0.124339,0.979167,0.875661,0.220657,0.915254,1.06983,0.000088
36,47,1,330,35,0.90411,0.979167,0.124668,0.979167,0.875332,0.221176,0.912833,1.072668,0.000091
37,47,1,329,36,0.90137,0.979167,0.125,0.979167,0.875,0.221698,0.910412,1.075521,0.000099
38,47,1,328,37,0.89863,0.979167,0.125333,0.979167,0.874667,0.222222,0.90799,1.078389,0.0001
39,47,1,327,38,0.89589,0.979167,0.125668,0.979167,0.874332,0.222749,0.905569,1.081272,0.000104
40,47,1,326,39,0.893151,0.979167,0.126005,0.979167,0.873995,0.223278,0.903148,1.084171,0.00011
41,47,1,325,40,0.890411,0.979167,0.126344,0.979167,0.873656,0.22381,0.900726,1.087086,0.000115
42,47,1,324,41,0.887671,0.979167,0.126685,0.979167,0.873315,0.224344,0.898305,1.090016,0.000157
43,47,1,323,42,0.884932,0.979167,0.127027,0.979167,0.872973,0.22488,0.895884,1.092962,0.000187
44,47,1,322,43,0.882192,0.979167,0.127371,0.979167,0.872629,0.22542,0.893462,1.095924,0.000189
45,47,1,321,44,0.879452,0.979167,0.127717,0.979167,0.872283,0.225962,0.891041,1.098902,0.000194
46,47,1,320,45,0.876712,0.979167,0.128065,0.979167,0.871935,0.226506,0.88862,1.101896,0.000202
47,47,1,319,46,0.873973,0.979167,0.128415,0.979167,0.871585,0.227053,0.886199,1.104907,0.000221
48,47,1,318,47,0.871233,0.979167,0.128767,0.979167,0.871233,0.227603,0.883777,1.107934,0.000228
49,47,1,317,48,0.868493,0.979167,0.129121,0.979167,0.870879,0.228155,0.881356,1.110978,0.000263
50,47,1,316,49,0.865753,0.979167,0.129477,0.979167,0.870523,0.22871,0.878935,1.114038,0.000293
