@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,48,0,365,0,1,1,0.116223,1,0.883777,0.208243,1,1,0
1,48,0,194,171,0.531507,1,0.198347,1,0.801653,0.331034,0.585956,1.706612,0.0005
2,48,0,193,172,0.528767,1,0.19917,1,0.80083,0.33218,0.583535,1.713693,0.01
3,48,0,154,211,0.421918,1,0.237624,1,0.762376,0.384,0.489104,2.044554,0.0105
4,48,0,153,212,0.419178,1,0.238806,1,0.761194,0.385542,0.486683,2.054726,0.02
5,48,0,121,244,0.331507,1,0.284024,1,0.715976,0.442396,0.409201,2.443787,0.0205
6,48,0,120,245,0.328767,1,0.285714,1,0.714286,0.444444,0.40678,2.458333,0.03
7,48,0,102,263,0.279452,1,0.32,1,0.68,0.484848,0.363196,2.753333,0.03
8,48,0,101,264,0.276712,1,0.322148,1,0.677852,0.48731,0.360775,2.771812,0.031667
9,48,0,99,266,0.271233,1,0.326531,1,0.673469,0.492308,0.355932,2.809524,0.036667
10,48,0,98,267,0.268493,1,0.328767,1,0.671233,0.494845,0.353511,2.828767,0.04
11,48,0,87,278,0.238356,1,0.355556,1,0.644444,0.52459,0.326877,3.059259,0.05
12,48,0,77,288,0.210959,1,0.384,1,0.616,0.554913,0.302663,3.304,0.06
13,48,0,71,294,0.194521,1,0.403361,1,0.596639,0.57485,0.288136,3.470588,0.061111
14,48,0,70,295,0.191781,1,0.40678,1,0.59322,0.578313,0.285714,3.5,0.065
15,48,0,69,296,0.189041,1,0.410256,1,0.589744,0.581818,0.283293,3.529915,0.07
16,48,0,64,301,0.175342,1,0.428571,1,0.571429,0.6,0.271186,3.6875,0.071111
17,48,0,63,302,0.172603,1,0.432432,1,0.567568,0.603774,0.268765,3.720721,0.08
18,48,0,60,305,0.164384,1,0.444444,1,0.555556,0.615385,0.261501,3.824074,0.085
19,48,0,59,306,0.161644,1,0.448598,1,0.551402,0.619355,0.25908,3.859813,0.09
20,48,0,51,314,0.139726,1,0.484848,1,0.515152,0.653061,0.239709,4.171717,0.095
21,48,0,50,315,0.136986,1,0.489796,1,0.510204,0.657534,0.237288,4.214286,0.1
22,48,0,48,317,0.131507,1,0.5,1,0.5,0.666667,0.232446,4.302083,0.11
23,48,0,41,324,0.112329,1,0.539326,1,0.460674,0.70073,0.215496,4.640449,0.12
24,48,0,39,326,0.106849,1,0.551724,1,0.448276,0.711111,0.210654,4.747126,0.123333
25,48,0,38,327,0.10411,1,0.55814,1,0.44186,0.716418,0.208232,4.802326,0.126111
26,48,0,37,328,0.10137,1,0.564706,1,0.435294,0.721805,0.205811,4.858824,0.13
27,48,0,35,330,0.09589,1,0.578313,1,0.421687,0.732824,0.200969,4.975904,0.14
28,48,0,32,333,0.087671,1,0.6,1,0.4,0.75,0.193705,5.1625,0.15
29,48,0,30,335,0.082192,1,0.615385,1,0.384615,0.761905,0.188862,5.294872,0.16
30,48,0,27,338,0.073973,1,0.64,1,0.36,0.780488,0.181598,5.506667,0.175
31,48,0,26,339,0.071233,1,0.648649,1,0.351351,0.786885,0.179177,5.581081,0.18
32,48,0,25,340,0.068493,1,0.657534,1,0.342466,0.793388,0.176755,5.657534,0.19
33,48,0,22,343,0.060274,1,0.685714,1,0.314286,0.813559,0.169492,5.9,0.2
34,47,1,21,344,0.057534,0.979167,0.691176,0.979167,0.308824,0.810345,0.164649,5.946998,0.21
35,47,1,20,345,0.054795,0.979167,0.701493,0.979167,0.298507,0.817391,0.162228,6.035759,0.213333
36,47,1,19,346,0.052055,0.979167,0.712121,0.979167,0.287879,0.824561,0.159806,6.12721,0.216667
37,47,1,18,347,0.049315,0.979167,0.723077,0.979167,0.276923,0.831858,0.157385,6.221474,0.22
38,47,1,16,349,0.043836,0.979167,0.746032,0.979167,0.253968,0.846847,0.152542,6.418981,0.24
39,47,1,15,350,0.041096,0.979167,0.758065,0.979167,0.241935,0.854545,0.150121,6.522513,0.26
40,47,1,14,351,0.038356,0.979167,0.770492,0.979167,0.229508,0.862385,0.1477,6.62944,0.27
41,47,1,13,352,0.035616,0.979167,0.783333,0.979167,0.216667,0.87037,0.145278,6.739931,0.28
42,45,3,13,352,0.035616,0.9375,0.775862,0.9375,0.224138,0.849057,0.140436,6.675647,0.32
43,44,4,12,353,0.032877,0.916667,0.785714,0.916667,0.214286,0.846154,0.135593,6.760417,0.33
44,44,4,11,354,0.030137,0.916667,0.8,0.916667,0.2,0.854369,0.133172,6.883333,0.353333
45,43,5,11,354,0.030137,0.895833,0.796296,0.895833,0.203704,0.843137,0.130751,6.851466,0.36
46,43,5,10,355,0.027397,0.895833,0.811321,0.895833,0.188679,0.851485,0.128329,6.980739,0.383333
47,42,6,10,355,0.027397,0.875,0.807692,0.875,0.192308,0.84,0.125908,6.949519,0.386667
48,41,7,10,355,0.027397,0.854167,0.803922,0.854167,0.196078,0.828283,0.123487,6.917075,0.43
49,40,8,10,355,0.027397,0.833333,0.8,0.833333,0.2,0.816327,0.121065,6.883333,0.438
50,39,9,10,355,0.027397,0.8125,0.795918,0.8125,0.204082,0.804124,0.118644,6.848214,0.448333
51,38,10,10,355,0.027397,0.791667,0.791667,0.791667,0.208333,0.791667,0.116223,6.811632,0.45
52,37,11,10,355,0.027397,0.770833,0.787234,0.770833,0.212766,0.778947,0.113801,6.773493,0.47
53,37,11,9,356,0.024658,0.770833,0.804348,0.770833,0.195652,0.787234,0.11138,6.920743,0.5
54,37,11,8,357,0.021918,0.770833,0.822222,0.770833,0.177778,0.795699,0.108959,7.074537,0.51
55,36,12,7,358,0.019178,0.75,0.837209,0.75,0.162791,0.791209,0.104116,7.203488,0.52
56,35,13,6,359,0.016438,0.729167,0.853659,0.729167,0.146341,0.786517,0.099274,7.34502,0.53
57,35,13,5,360,0.013699,0.729167,0.875,0.729167,0.125,0.795455,0.096852,7.528646,0.54
58,34,14,5,360,0.013699,0.708333,0.871795,0.708333,0.128205,0.781609,0.094431,7.501068,0.55
59,33,15,5,360,0.013699,0.6875,0.868421,0.6875,0.131579,0.767442,0.09201,7.472039,0.56
60,31,17,4,361,0.010959,0.645833,0.885714,0.645833,0.114286,0.746988,0.084746,7.620833,0.57
61,30,18,4,361,0.010959,0.625,0.882353,0.625,0.117647,0.731707,0.082324,7.591912,0.58
62,30,18,3,362,0.008219,0.625,0.909091,0.625,0.090909,0.740741,0.079903,7.82197,0.619474
63,30,18,2,363,0.005479,0.625,0.9375,0.625,0.0625,0.75,0.077482,8.066406,0.62
64,29,19,2,363,0.005479,0.604167,0.935484,0.604167,0.064516,0.734177,0.075061,8.049059,0.65
65,28,20,2,363,0.005479,0.583333,0.933333,0.583333,0.066667,0.717949,0.072639,8.030556,0.659474
66,27,21,2,363,0.005479,0.5625,0.931034,0.5625,0.068966,0.701299,0.070218,8.010776,0.66
67,25,23,2,363,0.005479,0.520833,0.925926,0.520833,0.074074,0.666667,0.065375,7.966821,0.6875
68,24,24,2,363,0.005479,0.5,0.923077,0.5,0.076923,0.648649,0.062954,7.942308,0.69
69,23,25,2,363,0.005479,0.479167,0.92,0.479167,0.08,0.630137,0.060533,7.915833,0.7
70,22,26,2,363,0.005479,0.458333,0.916667,0.458333,0.083333,0.611111,0.058111,7.887153,0.7005
71,21,27,2,363,0.005479,0.4375,0.913043,0.4375,0.086957,0.591549,0.05569,7.855978,0.71
72,20,28,2,363,0.005479,0.416667,0.909091,0.416667,0.090909,0.571429,0.053269,7.82197,0.72
73,20,28,1,364,0.00274,0.416667,0.952381,0.416667,0.047619,0.57971,0.050847,8.194444,0.73
74,19,29,1,364,0.00274,0.395833,0.95,0.395833,0.05,0.558824,0.048426,8.173958,0.79
75,18,30,1,364,0.00274,0.375,0.947368,0.375,0.052632,0.537313,0.046005,8.151316,0.81
76,17,31,1,364,0.00274,0.354167,0.944444,0.354167,0.055556,0.515152,0.043584,8.126157,0.815
77,17,31,0,365,0,0.354167,1,0.354167,0,0.523077,0.041162,8.604167,0.833333
78,16,32,0,365,0,0.333333,1,0.333333,0,0.5,0.038741,8.604167,0.85
79,15,33,0,365,0,0.3125,1,0.3125,0,0.47619,0.03632,8.604167,0.86
80,14,34,0,365,0,0.291667,1,0.291667,0,0.451613,0.033898,8.604167,0.87
81,13,35,0,365,0,0.270833,1,0.270833,0,0.42623,0.031477,8.604167,0.89
82,10,38,0,365,0,0.208333,1,0.208333,0,0.344828,0.024213,8.604167,0.913333
83,9,39,0,365,0,0.1875,1,0.1875,0,0.315789,0.021792,8.604167,0.92
84,8,40,0,365,0,0.166667,1,0.166667,0,0.285714,0.01937,?,0.95
85,6,42,0,365,0,0.125,1,0.125,0,0.222222,0.014528,?,0.958333
86,5,43,0,365,0,0.104167,1,0.104167,0,0.188679,0.012107,?,0.97
87,2,46,0,365,0,0.041667,1,0.041667,0,0.08,0.004843,?,0.989474
88,1,47,0,365,0,0.020833,1,0.020833,0,0.040816,0.002421,?,1
89,0,48,0,365,0,0,?,0,?,?,0,?,1.00001
