@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,124,0,289,0,1,1,0.300242,1,0.699758,0.461825,1,1,0
1,124,0,120,169,0.415225,1,0.508197,1,0.491803,0.673913,0.590799,1.692623,0.01
2,124,0,107,182,0.370242,1,0.536797,1,0.463203,0.698592,0.559322,1.787879,0.02
3,124,0,106,183,0.366782,1,0.53913,1,0.46087,0.700565,0.556901,1.795652,0.02
4,123,1,92,197,0.318339,0.991935,0.572093,0.991935,0.427907,0.725664,0.520581,1.905439,0.03
5,123,1,85,204,0.294118,0.991935,0.591346,0.991935,0.408654,0.740964,0.503632,1.969564,0.04
6,123,1,76,213,0.262976,0.991935,0.61809,0.991935,0.38191,0.76161,0.48184,2.05864,0.04
7,123,1,75,214,0.259516,0.991935,0.621212,0.991935,0.378788,0.763975,0.479419,2.069037,0.046667
8,123,1,74,215,0.256055,0.991935,0.624365,0.991935,0.375635,0.766355,0.476998,2.07954,0.047692
9,123,1,73,216,0.252595,0.991935,0.627551,0.991935,0.372449,0.76875,0.474576,2.09015,0.05
10,123,1,64,225,0.221453,0.991935,0.657754,0.991935,0.342246,0.790997,0.452785,2.190745,0.06
11,123,1,55,234,0.190311,0.991935,0.691011,0.991935,0.308989,0.81457,0.430993,2.301513,0.07
12,123,1,50,239,0.17301,0.991935,0.710983,0.991935,0.289017,0.828283,0.418886,2.368031,0.072
13,123,1,49,240,0.16955,0.991935,0.715116,0.991935,0.284884,0.831081,0.416465,2.381799,0.08
14,123,1,44,245,0.152249,0.991935,0.736527,0.991935,0.263473,0.845361,0.404358,2.45311,0.09
15,123,1,42,247,0.145329,0.991935,0.745455,0.991935,0.254545,0.851211,0.399516,2.482845,0.1
16,123,1,40,249,0.138408,0.991935,0.754601,0.991935,0.245399,0.857143,0.394673,2.513309,0.11
17,123,1,37,252,0.128028,0.991935,0.76875,0.991935,0.23125,0.866197,0.387409,2.560433,0.12
18,123,1,35,254,0.121107,0.991935,0.778481,0.991935,0.221519,0.87234,0.382567,2.592844,0.135
19,123,1,33,256,0.114187,0.991935,0.788462,0.991935,0.211538,0.878571,0.377724,2.626086,0.14
20,123,1,32,257,0.110727,0.991935,0.793548,0.991935,0.206452,0.88172,0.375303,2.643028,0.15
