@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,116,0,297,0,1,1,0.280872,1,0.719128,0.438563,1,1,0
1,116,0,296,1,0.996633,1,0.281553,1,0.718447,0.439394,0.997579,1.002427,0
2,115,1,296,1,0.996633,0.991379,0.279805,0.991379,0.720195,0.436433,0.995157,0.996204,0.000002
3,115,1,295,2,0.993266,0.991379,0.280488,0.991379,0.719512,0.437262,0.992736,0.998633,0.000005
4,115,1,294,3,0.989899,0.991379,0.281174,0.991379,0.718826,0.438095,0.990315,1.001075,0.000005
5,115,1,293,4,0.986532,0.991379,0.281863,0.991379,0.718137,0.438931,0.987893,1.003529,0.000015
6,115,1,292,5,0.983165,0.991379,0.282555,0.991379,0.717445,0.439771,0.985472,1.005994,0.000016
7,115,1,291,6,0.979798,0.991379,0.283251,0.991379,0.716749,0.440613,0.983051,1.008472,0.000028
8,115,1,290,7,0.976431,0.991379,0.283951,0.991379,0.716049,0.441459,0.98063,1.010962,0.000042
9,115,1,289,8,0.973064,0.991379,0.284653,0.991379,0.715347,0.442308,0.978208,1.013464,0.000051
10,115,1,288,9,0.969697,0.991379,0.28536,0.991379,0.71464,0.44316,0.975787,1.015979,0.000055
11,115,1,287,10,0.96633,0.991379,0.28607,0.991379,0.71393,0.444015,0.973366,1.018507,0.00006
12,115,1,286,11,0.962963,0.991379,0.286783,0.991379,0.713217,0.444874,0.970944,1.021047,0.000082
13,115,1,285,12,0.959596,0.991379,0.2875,0.991379,0.7125,0.445736,0.968523,1.023599,0.000084
14,115,1,284,13,0.956229,0.991379,0.288221,0.991379,0.711779,0.446602,0.966102,1.026165,0.000104
15,115,1,283,14,0.952862,0.991379,0.288945,0.991379,0.711055,0.447471,0.96368,1.028743,0.000105
16,115,1,282,15,0.949495,0.991379,0.289673,0.991379,0.710327,0.448343,0.961259,1.031334,0.000108
17,115,1,281,16,0.946128,0.991379,0.290404,0.991379,0.709596,0.449219,0.958838,1.033939,0.000109
18,115,1,280,17,0.942761,0.991379,0.291139,0.991379,0.708861,0.450098,0.956416,1.036556,0.000109
19,115,1,279,18,0.939394,0.991379,0.291878,0.991379,0.708122,0.45098,0.953995,1.039187,0.000118
20,115,1,278,19,0.936027,0.991379,0.292621,0.991379,0.707379,0.451866,0.951574,1.041831,0.000132
21,115,1,277,20,0.93266,0.991379,0.293367,0.991379,0.706633,0.452756,0.949153,1.044489,0.000141
22,115,1,276,21,0.929293,0.991379,0.294118,0.991379,0.705882,0.453649,0.946731,1.04716,0.00015
23,115,1,275,22,0.925926,0.991379,0.294872,0.991379,0.705128,0.454545,0.94431,1.049845,0.000187
24,115,1,274,23,0.922559,0.991379,0.29563,0.991379,0.70437,0.455446,0.941889,1.052544,0.000188
25,114,2,274,23,0.922559,0.982759,0.293814,0.982759,0.706186,0.452381,0.939467,1.046081,0.000192
26,113,3,274,23,0.922559,0.974138,0.29199,0.974138,0.70801,0.449304,0.937046,1.039584,0.000198
27,113,3,273,24,0.919192,0.974138,0.292746,0.974138,0.707254,0.450199,0.934625,1.042277,0.000208
28,113,3,272,25,0.915825,0.974138,0.293506,0.974138,0.706494,0.451098,0.932203,1.044984,0.000237
29,113,3,271,26,0.912458,0.974138,0.294271,0.974138,0.705729,0.452,0.929782,1.047706,0.00024
30,113,3,270,27,0.909091,0.974138,0.295039,0.974138,0.704961,0.452906,0.927361,1.050441,0.000241
31,113,3,269,28,0.905724,0.974138,0.295812,0.974138,0.704188,0.453815,0.924939,1.053191,0.000247
32,113,3,268,29,0.902357,0.974138,0.296588,0.974138,0.703412,0.454728,0.922518,1.055955,0.000286
33,113,3,267,30,0.89899,0.974138,0.297368,0.974138,0.702632,0.455645,0.920097,1.058734,0.000309
34,112,4,267,30,0.89899,0.965517,0.295515,0.965517,0.704485,0.452525,0.917676,1.052134,0.000316
35,112,4,266,31,0.895623,0.965517,0.296296,0.965517,0.703704,0.453441,0.915254,1.054917,0.000317
36,112,4,265,32,0.892256,0.965517,0.297082,0.965517,0.702918,0.454361,0.912833,1.057715,0.000344
37,112,4,264,33,0.888889,0.965517,0.297872,0.965517,0.702128,0.455285,0.910412,1.060528,0.000361
38,112,4,263,34,0.885522,0.965517,0.298667,0.965517,0.701333,0.456212,0.90799,1.063356,0.000368
39,112,4,262,35,0.882155,0.965517,0.299465,0.965517,0.700535,0.457143,0.905569,1.0662,0.000386
40,112,4,261,36,0.878788,0.965517,0.300268,0.965517,0.699732,0.458078,0.903148,1.069058,0.000494
41,112,4,260,37,0.875421,0.965517,0.301075,0.965517,0.698925,0.459016,0.900726,1.071932,0.00051
42,112,4,259,38,0.872054,0.965517,0.301887,0.965517,0.698113,0.459959,0.898305,1.074821,0.000529
43,112,4,258,39,0.868687,0.965517,0.302703,0.965517,0.697297,0.460905,0.895884,1.077726,0.000582
44,112,4,257,40,0.86532,0.965517,0.303523,0.965517,0.696477,0.461856,0.893462,1.080647,0.000635
45,112,4,256,41,0.861953,0.965517,0.304348,0.965517,0.695652,0.46281,0.891041,1.083583,0.000693
46,112,4,255,42,0.858586,0.965517,0.305177,0.965517,0.694823,0.463768,0.88862,1.086536,0.000722
47,112,4,254,43,0.855219,0.965517,0.306011,0.965517,0.693989,0.46473,0.886199,1.089504,0.000736
48,112,4,253,44,0.851852,0.965517,0.306849,0.965517,0.693151,0.465696,0.883777,1.092489,0.000812
49,112,4,252,45,0.848485,0.965517,0.307692,0.965517,0.692308,0.466667,0.881356,1.095491,0.000837
50,112,4,251,46,0.845118,0.965517,0.30854,0.965517,0.69146,0.467641,0.878935,1.098509,0.000882
51,112,4,250,47,0.841751,0.965517,0.309392,0.965517,0.690608,0.468619,0.876513,1.101543,0.000957
52,112,4,249,48,0.838384,0.965517,0.310249,0.965517,0.689751,0.469602,0.874092,1.104595,0.001054
53,112,4,248,49,0.835017,0.965517,0.311111,0.965517,0.688889,0.470588,0.871671,1.107663,0.001055
54,112,4,247,50,0.83165,0.965517,0.311978,0.965517,0.688022,0.471579,0.869249,1.110748,0.001118
55,112,4,246,51,0.828283,0.965517,0.312849,0.965517,0.687151,0.472574,0.866828,1.113851,0.001173
56,112,4,245,52,0.824916,0.965517,0.313725,0.965517,0.686275,0.473573,0.864407,1.116971,0.001252
57,112,4,244,53,0.821549,0.965517,0.314607,0.965517,0.685393,0.474576,0.861985,1.120108,0.001272
58,112,4,243,54,0.818182,0.965517,0.315493,0.965517,0.684507,0.475584,0.859564,1.123264,0.001281
59,112,4,242,55,0.814815,0.965517,0.316384,0.965517,0.683616,0.476596,0.857143,1.126437,0.001347
60,112,4,241,56,0.811448,0.965517,0.31728,0.965517,0.68272,0.477612,0.854722,1.129628,0.001361
61,112,4,240,57,0.808081,0.965517,0.318182,0.965517,0.681818,0.478632,0.8523,1.132837,0.001371
62,112,4,239,58,0.804714,0.965517,0.319088,0.965517,0.680912,0.479657,0.849879,1.136064,0.001382
63,112,4,238,59,0.801347,0.965517,0.32,0.965517,0.68,0.480687,0.847458,1.13931,0.001483
64,112,4,237,60,0.79798,0.965517,0.320917,0.965517,0.679083,0.48172,0.845036,1.142575,0.001552
65,112,4,236,61,0.794613,0.965517,0.321839,0.965517,0.678161,0.482759,0.842615,1.145858,0.00158
66,112,4,235,62,0.791246,0.965517,0.322767,0.965517,0.677233,0.483801,0.840194,1.14916,0.001752
67,112,4,234,63,0.787879,0.965517,0.323699,0.965517,0.676301,0.484848,0.837772,1.152482,0.001764
68,112,4,233,64,0.784512,0.965517,0.324638,0.965517,0.675362,0.4859,0.835351,1.155822,0.001767
69,112,4,232,65,0.781145,0.965517,0.325581,0.965517,0.674419,0.486957,0.83293,1.159182,0.00185
70,112,4,231,66,0.777778,0.965517,0.326531,0.965517,0.673469,0.488017,0.830508,1.162562,0.00196
71,112,4,230,67,0.774411,0.965517,0.327485,0.965517,0.672515,0.489083,0.828087,1.165961,0.001965
72,112,4,229,68,0.771044,0.965517,0.328446,0.965517,0.671554,0.490153,0.825666,1.16938,0.001979
73,112,4,228,69,0.767677,0.965517,0.329412,0.965517,0.670588,0.491228,0.823245,1.172819,0.00198
74,112,4,227,70,0.76431,0.965517,0.330383,0.965517,0.669617,0.492308,0.820823,1.176279,0.001988
75,112,4,226,71,0.760943,0.965517,0.331361,0.965517,0.668639,0.493392,0.818402,1.179759,0.002016
76,112,4,225,72,0.757576,0.965517,0.332344,0.965517,0.667656,0.494481,0.815981,1.18326,0.002029
77,112,4,224,73,0.754209,0.965517,0.333333,0.965517,0.666667,0.495575,0.813559,1.186782,0.002055
78,112,4,223,74,0.750842,0.965517,0.334328,0.965517,0.665672,0.496674,0.811138,1.190324,0.002058
79,112,4,222,75,0.747475,0.965517,0.335329,0.965517,0.664671,0.497778,0.808717,1.193888,0.002155
80,112,4,221,76,0.744108,0.965517,0.336336,0.965517,0.663664,0.498886,0.806295,1.197473,0.002161
81,112,4,220,77,0.740741,0.965517,0.337349,0.965517,0.662651,0.5,0.803874,1.20108,0.002191
82,112,4,219,78,0.737374,0.965517,0.338369,0.965517,0.661631,0.501119,0.801453,1.204709,0.002202
83,112,4,218,79,0.734007,0.965517,0.339394,0.965517,0.660606,0.502242,0.799031,1.208359,0.00225
84,112,4,217,80,0.73064,0.965517,0.340426,0.965517,0.659574,0.503371,0.79661,1.212032,0.002278
85,112,4,216,81,0.727273,0.965517,0.341463,0.965517,0.658537,0.504505,0.794189,1.215728,0.002286
86,112,4,215,82,0.723906,0.965517,0.342508,0.965517,0.657492,0.505643,0.791768,1.219445,0.002295
87,111,5,215,82,0.723906,0.956897,0.340491,0.956897,0.659509,0.502262,0.789346,1.212265,0.002314
88,111,5,214,83,0.720539,0.956897,0.341538,0.956897,0.658462,0.503401,0.786925,1.215995,0.002317
89,111,5,213,84,0.717172,0.956897,0.342593,0.956897,0.657407,0.504545,0.784504,1.219748,0.002341
90,111,5,212,85,0.713805,0.956897,0.343653,0.956897,0.656347,0.505695,0.782082,1.223524,0.002396
91,111,5,211,86,0.710438,0.956897,0.34472,0.956897,0.65528,0.506849,0.779661,1.227324,0.00246
92,111,5,210,87,0.707071,0.956897,0.345794,0.956897,0.654206,0.508009,0.77724,1.231147,0.002499
93,111,5,209,88,0.703704,0.956897,0.346875,0.956897,0.653125,0.509174,0.774818,1.234995,0.002545
94,111,5,208,89,0.700337,0.956897,0.347962,0.956897,0.652038,0.510345,0.772397,1.238866,0.002548
95,111,5,207,90,0.69697,0.956897,0.349057,0.956897,0.650943,0.511521,0.769976,1.242762,0.002667
96,111,5,206,91,0.693603,0.956897,0.350158,0.956897,0.649842,0.512702,0.767554,1.246682,0.002783
97,111,5,205,92,0.690236,0.956897,0.351266,0.956897,0.648734,0.513889,0.765133,1.250627,0.002972
98,111,5,204,93,0.686869,0.956897,0.352381,0.956897,0.647619,0.515081,0.762712,1.254598,0.003053
99,111,5,203,94,0.683502,0.956897,0.353503,0.956897,0.646497,0.516279,0.760291,1.258593,0.003068
100,111,5,202,95,0.680135,0.956897,0.354633,0.956897,0.645367,0.517483,0.757869,1.262614,0.003092
101,111,5,201,96,0.676768,0.956897,0.355769,0.956897,0.644231,0.518692,0.755448,1.266661,0.003093
102,111,5,200,97,0.673401,0.956897,0.356913,0.956897,0.643087,0.519906,0.753027,1.270734,0.003206
103,111,5,199,98,0.670034,0.956897,0.358065,0.956897,0.641935,0.521127,0.750605,1.274833,0.003232
104,111,5,198,99,0.666667,0.956897,0.359223,0.956897,0.640777,0.522353,0.748184,1.278959,0.003347
105,111,5,197,100,0.6633,0.956897,0.36039,0.956897,0.63961,0.523585,0.745763,1.283111,0.003382
106,111,5,196,101,0.659933,0.956897,0.361564,0.956897,0.638436,0.524823,0.743341,1.287291,0.00347
107,111,5,195,102,0.656566,0.956897,0.362745,0.956897,0.637255,0.526066,0.74092,1.291498,0.003714
108,111,5,194,103,0.653199,0.956897,0.363934,0.956897,0.636066,0.527316,0.738499,1.295732,0.003743
109,111,5,193,104,0.649832,0.956897,0.365132,0.956897,0.634868,0.528571,0.736077,1.299994,0.003754
110,111,5,192,105,0.646465,0.956897,0.366337,0.956897,0.633663,0.529833,0.733656,1.304285,0.00377
111,111,5,191,106,0.643098,0.956897,0.36755,0.956897,0.63245,0.5311,0.731235,1.308604,0.003826
112,111,5,190,107,0.639731,0.956897,0.368771,0.956897,0.631229,0.532374,0.728814,1.312951,0.003955
113,111,5,189,108,0.636364,0.956897,0.37,0.956897,0.63,0.533654,0.726392,1.317328,0.004123
114,111,5,188,109,0.632997,0.956897,0.371237,0.956897,0.628763,0.53494,0.723971,1.321733,0.004139
115,111,5,187,110,0.62963,0.956897,0.372483,0.956897,0.627517,0.536232,0.72155,1.326169,0.004351
116,111,5,186,111,0.626263,0.956897,0.373737,0.956897,0.626263,0.53753,0.719128,1.330634,0.004381
117,111,5,185,112,0.622896,0.956897,0.375,0.956897,0.625,0.538835,0.716707,1.335129,0.004795
118,111,5,184,113,0.619529,0.956897,0.376271,0.956897,0.623729,0.540146,0.714286,1.339655,0.004827
119,111,5,183,114,0.616162,0.956897,0.377551,0.956897,0.622449,0.541463,0.711864,1.344212,0.004867
120,111,5,182,115,0.612795,0.956897,0.37884,0.956897,0.62116,0.542787,0.709443,1.3488,0.005093
121,111,5,181,116,0.609428,0.956897,0.380137,0.956897,0.619863,0.544118,0.707022,1.353419,0.005112
122,111,5,180,117,0.606061,0.956897,0.381443,0.956897,0.618557,0.545455,0.7046,1.35807,0.005258
123,111,5,179,118,0.602694,0.956897,0.382759,0.956897,0.617241,0.546798,0.702179,1.362753,0.005408
124,111,5,178,119,0.599327,0.956897,0.384083,0.956897,0.615917,0.548148,0.699758,1.367468,0.00564
125,111,5,177,120,0.59596,0.956897,0.385417,0.956897,0.614583,0.549505,0.697337,1.372216,0.005708
126,111,5,176,121,0.592593,0.956897,0.38676,0.956897,0.61324,0.550868,0.694915,1.376997,0.005842
127,111,5,175,122,0.589226,0.956897,0.388112,0.956897,0.611888,0.552239,0.692494,1.381812,0.005876
128,111,5,174,123,0.585859,0.956897,0.389474,0.956897,0.610526,0.553616,0.690073,1.386661,0.006194
129,111,5,173,124,0.582492,0.956897,0.390845,0.956897,0.609155,0.555,0.687651,1.391543,0.006197
130,111,5,172,125,0.579125,0.956897,0.392226,0.956897,0.607774,0.556391,0.68523,1.39646,0.006296
131,111,5,171,126,0.575758,0.956897,0.393617,0.956897,0.606383,0.557789,0.682809,1.401412,0.006296
132,111,5,170,127,0.572391,0.956897,0.395018,0.956897,0.604982,0.559194,0.680387,1.4064,0.00643
133,111,5,169,128,0.569024,0.956897,0.396429,0.956897,0.603571,0.560606,0.677966,1.411422,0.00662
134,111,5,168,129,0.565657,0.956897,0.397849,0.956897,0.602151,0.562025,0.675545,1.416481,0.0068
135,111,5,167,130,0.56229,0.956897,0.399281,0.956897,0.600719,0.563452,0.673123,1.421577,0.006892
136,111,5,166,131,0.558923,0.956897,0.400722,0.956897,0.599278,0.564885,0.670702,1.426709,0.007052
137,111,5,165,132,0.555556,0.956897,0.402174,0.956897,0.597826,0.566327,0.668281,1.431878,0.007087
138,111,5,164,133,0.552189,0.956897,0.403636,0.956897,0.596364,0.567775,0.66586,1.437085,0.00764
139,111,5,163,134,0.548822,0.956897,0.405109,0.956897,0.594891,0.569231,0.663438,1.442329,0.007706
140,111,5,162,135,0.545455,0.956897,0.406593,0.956897,0.593407,0.570694,0.661017,1.447613,0.007935
141,111,5,161,136,0.542088,0.956897,0.408088,0.956897,0.591912,0.572165,0.658596,1.452935,0.008035
142,111,5,160,137,0.538721,0.956897,0.409594,0.956897,0.590406,0.573643,0.656174,1.458296,0.008404
143,111,5,159,138,0.535354,0.956897,0.411111,0.956897,0.588889,0.57513,0.653753,1.463697,0.008659
144,111,5,158,139,0.531987,0.956897,0.412639,0.956897,0.587361,0.576623,0.651332,1.469139,0.008668
145,111,5,157,140,0.52862,0.956897,0.414179,0.956897,0.585821,0.578125,0.64891,1.47462,0.008711
146,111,5,156,141,0.525253,0.956897,0.41573,0.956897,0.58427,0.579634,0.646489,1.480143,0.009042
147,111,5,155,142,0.521886,0.956897,0.417293,0.956897,0.582707,0.581152,0.644068,1.485708,0.009131
148,111,5,154,143,0.518519,0.956897,0.418868,0.956897,0.581132,0.582677,0.641646,1.491314,0.009223
149,111,5,153,144,0.515152,0.956897,0.420455,0.956897,0.579545,0.584211,0.639225,1.496963,0.009339
150,111,5,152,145,0.511785,0.956897,0.422053,0.956897,0.577947,0.585752,0.636804,1.502655,0.009732
151,111,5,151,146,0.508418,0.956897,0.423664,0.956897,0.576336,0.587302,0.634383,1.50839,0.010578
152,111,5,150,147,0.505051,0.956897,0.425287,0.956897,0.574713,0.588859,0.631961,1.51417,0.010698
153,111,5,149,148,0.501684,0.956897,0.426923,0.956897,0.573077,0.590426,0.62954,1.519993,0.010746
154,111,5,148,149,0.498316,0.956897,0.428571,0.956897,0.571429,0.592,0.627119,1.525862,0.011191
155,111,5,147,150,0.494949,0.956897,0.430233,0.956897,0.569767,0.593583,0.624697,1.531776,0.011675
156,111,5,146,151,0.491582,0.956897,0.431907,0.956897,0.568093,0.595174,0.622276,1.537736,0.011698
157,111,5,145,152,0.488215,0.956897,0.433594,0.956897,0.566406,0.596774,0.619855,1.543743,0.012134
158,111,5,144,153,0.484848,0.956897,0.435294,0.956897,0.564706,0.598383,0.617433,1.549797,0.012206
159,111,5,143,154,0.481481,0.956897,0.437008,0.956897,0.562992,0.6,0.615012,1.555899,0.013292
160,111,5,142,155,0.478114,0.956897,0.438735,0.956897,0.561265,0.601626,0.612591,1.562049,0.014036
161,111,5,141,156,0.474747,0.956897,0.440476,0.956897,0.559524,0.603261,0.610169,1.568247,0.014278
162,111,5,140,157,0.47138,0.956897,0.442231,0.956897,0.557769,0.604905,0.607748,1.574495,0.014611
163,111,5,139,158,0.468013,0.956897,0.444,0.956897,0.556,0.606557,0.605327,1.580793,0.015458
164,111,5,138,159,0.464646,0.956897,0.445783,0.956897,0.554217,0.608219,0.602906,1.587142,0.016225
165,111,5,137,160,0.461279,0.956897,0.447581,0.956897,0.552419,0.60989,0.600484,1.593541,0.016683
