@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,116,0,297,0,1,1,0.280872,1,0.719128,0.438563,1,1,0
1,116,0,236,61,0.794613,1,0.329545,1,0.670455,0.495726,0.8523,1.173295,0.01
2,116,0,210,87,0.707071,1,0.355828,1,0.644172,0.524887,0.789346,1.266871,0.02
3,116,0,188,109,0.632997,1,0.381579,1,0.618421,0.552381,0.736077,1.358553,0.026667
4,116,0,187,110,0.62963,1,0.382838,1,0.617162,0.553699,0.733656,1.363036,0.03
5,116,0,174,123,0.585859,1,0.4,1,0.6,0.571429,0.702179,1.424138,0.035714
6,116,0,173,124,0.582492,1,0.401384,1,0.598616,0.57284,0.699758,1.429066,0.04
7,116,0,172,125,0.579125,1,0.402778,1,0.597222,0.574257,0.697337,1.434028,0.04
8,116,0,162,135,0.545455,1,0.417266,1,0.582734,0.588832,0.673123,1.485612,0.040952
9,116,0,161,136,0.542088,1,0.418773,1,0.581227,0.590331,0.670702,1.490975,0.05
10,115,1,135,162,0.454545,0.991379,0.46,0.991379,0.54,0.628415,0.605327,1.637759,0.050952
11,115,1,134,163,0.451178,0.991379,0.461847,0.991379,0.538153,0.630137,0.602906,1.644336,0.06
12,115,1,127,170,0.427609,0.991379,0.475207,0.991379,0.524793,0.642458,0.585956,1.691899,0.065
13,115,1,126,171,0.424242,0.991379,0.477178,0.991379,0.522822,0.644258,0.583535,1.69892,0.07
14,115,1,118,179,0.397306,0.991379,0.493562,0.991379,0.506438,0.659026,0.564165,1.757252,0.08
15,115,1,114,183,0.383838,0.991379,0.502183,0.991379,0.497817,0.666667,0.554479,1.787946,0.085
16,115,1,113,184,0.380471,0.991379,0.504386,0.991379,0.495614,0.668605,0.552058,1.795788,0.09
17,115,1,107,190,0.360269,0.991379,0.518018,0.991379,0.481982,0.680473,0.53753,1.844323,0.095
18,115,1,106,191,0.356902,0.991379,0.520362,0.991379,0.479638,0.682493,0.535109,1.852668,0.1
19,115,1,100,197,0.3367,0.991379,0.534884,0.991379,0.465116,0.694864,0.520581,1.90437,0.103333
20,115,1,99,198,0.333333,0.991379,0.537383,0.991379,0.462617,0.69697,0.51816,1.913269,0.11
21,114,2,88,209,0.296296,0.982759,0.564356,0.982759,0.435644,0.716981,0.489104,2.009304,0.12
22,112,4,85,212,0.286195,0.965517,0.568528,0.965517,0.431472,0.715655,0.476998,2.024155,0.123333
23,112,4,84,213,0.282828,0.965517,0.571429,0.965517,0.428571,0.717949,0.474576,2.034483,0.13
24,112,4,81,216,0.272727,0.965517,0.580311,0.965517,0.419689,0.724919,0.467312,2.066107,0.14
25,111,5,79,218,0.265993,0.956897,0.584211,0.956897,0.415789,0.72549,0.460048,2.079991,0.145238
26,111,5,78,219,0.262626,0.956897,0.587302,0.956897,0.412698,0.727869,0.457627,2.090996,0.15
27,111,5,73,224,0.245791,0.956897,0.603261,0.956897,0.396739,0.74,0.445521,2.147817,0.155
28,111,5,72,225,0.242424,0.956897,0.606557,0.956897,0.393443,0.742475,0.443099,2.159553,0.1595
29,111,5,71,226,0.239057,0.956897,0.60989,0.956897,0.39011,0.744966,0.440678,2.171419,0.16
30,110,6,68,229,0.228956,0.948276,0.617978,0.948276,0.382022,0.748299,0.430993,2.200213,0.17
31,109,7,65,232,0.218855,0.939655,0.626437,0.939655,0.373563,0.751724,0.421308,2.230331,0.18
32,109,7,64,233,0.215488,0.939655,0.630058,0.939655,0.369942,0.754325,0.418886,2.243223,0.189091
33,109,7,63,234,0.212121,0.939655,0.633721,0.939655,0.366279,0.756944,0.416465,2.256265,0.19
34,109,7,62,235,0.208754,0.939655,0.637427,0.939655,0.362573,0.759582,0.414044,2.26946,0.191389
35,109,7,61,236,0.205387,0.939655,0.641176,0.939655,0.358824,0.762238,0.411622,2.282809,0.198167
36,109,7,60,237,0.20202,0.939655,0.64497,0.939655,0.35503,0.764912,0.409201,2.296317,0.2
37,108,8,58,239,0.195286,0.931034,0.650602,0.931034,0.349398,0.765957,0.401937,2.316369,0.20125
38,108,8,57,240,0.191919,0.931034,0.654545,0.931034,0.345455,0.768683,0.399516,2.330408,0.22
39,108,8,53,244,0.178451,0.931034,0.670807,0.931034,0.329193,0.779783,0.389831,2.388306,0.220833
40,108,8,52,245,0.175084,0.931034,0.675,0.931034,0.325,0.782609,0.387409,2.403233,0.23
41,108,8,49,248,0.164983,0.931034,0.687898,0.931034,0.312102,0.791209,0.380145,2.449154,0.24
42,108,8,47,250,0.158249,0.931034,0.696774,0.931034,0.303226,0.797048,0.375303,2.480756,0.248824
43,108,8,46,251,0.154882,0.931034,0.701299,0.931034,0.298701,0.8,0.372881,2.496865,0.25
44,108,8,44,253,0.148148,0.931034,0.710526,0.931034,0.289474,0.80597,0.368039,2.529719,0.251667
45,108,8,43,254,0.144781,0.931034,0.715232,0.931034,0.284768,0.808989,0.365617,2.546472,0.259545
46,108,8,42,255,0.141414,0.931034,0.72,0.931034,0.28,0.81203,0.363196,2.563448,0.266667
47,108,8,41,256,0.138047,0.931034,0.724832,0.931034,0.275168,0.815094,0.360775,2.580653,0.27
48,108,8,40,257,0.13468,0.931034,0.72973,0.931034,0.27027,0.818182,0.358354,2.598089,0.28
49,108,8,39,258,0.131313,0.931034,0.734694,0.931034,0.265306,0.821293,0.355932,2.615764,0.283284
50,108,8,38,259,0.127946,0.931034,0.739726,0.931034,0.260274,0.824427,0.353511,2.63368,0.283554
51,108,8,37,260,0.124579,0.931034,0.744828,0.931034,0.255172,0.827586,0.35109,2.651843,0.287321
52,107,9,37,260,0.124579,0.922414,0.743056,0.922414,0.256944,0.823077,0.348668,2.645534,0.289545
53,107,9,36,261,0.121212,0.922414,0.748252,0.922414,0.251748,0.826255,0.346247,2.664034,0.29
54,107,9,35,262,0.117845,0.922414,0.753521,0.922414,0.246479,0.829457,0.343826,2.682795,0.3
55,106,10,34,263,0.114478,0.913793,0.757143,0.913793,0.242857,0.828125,0.338983,2.69569,0.30724
56,106,10,33,264,0.111111,0.913793,0.76259,0.913793,0.23741,0.831373,0.336562,2.715083,0.31
57,104,12,33,264,0.111111,0.896552,0.759124,0.896552,0.240876,0.822134,0.331719,2.702744,0.32
58,103,13,31,266,0.104377,0.887931,0.768657,0.887931,0.231343,0.824,0.324455,2.736683,0.327618
59,103,13,30,267,0.10101,0.887931,0.774436,0.887931,0.225564,0.827309,0.322034,2.75726,0.333284
60,103,13,29,268,0.097643,0.887931,0.780303,0.887931,0.219697,0.830645,0.319613,2.778148,0.34
61,103,13,28,269,0.094276,0.887931,0.78626,0.887931,0.21374,0.834008,0.317191,2.799355,0.35
62,103,13,27,270,0.090909,0.887931,0.792308,0.887931,0.207692,0.837398,0.31477,2.820889,0.37
63,102,14,27,270,0.090909,0.87931,0.790698,0.87931,0.209302,0.832653,0.312349,2.815156,0.38
64,102,14,26,271,0.087542,0.87931,0.796875,0.87931,0.203125,0.836066,0.309927,2.83715,0.383333
65,102,14,25,272,0.084175,0.87931,0.80315,0.87931,0.19685,0.839506,0.307506,2.85949,0.393
66,101,15,25,272,0.084175,0.87069,0.801587,0.87069,0.198413,0.834711,0.305085,2.853927,0.4
67,101,15,24,273,0.080808,0.87069,0.808,0.87069,0.192,0.838174,0.302663,2.876759,0.41875
68,101,15,23,274,0.077441,0.87069,0.814516,0.87069,0.185484,0.841667,0.300242,2.899958,0.429115
69,101,15,22,275,0.074074,0.87069,0.821138,0.87069,0.178862,0.845188,0.297821,2.923535,0.43
70,100,16,22,275,0.074074,0.862069,0.819672,0.862069,0.180328,0.840336,0.2954,2.918315,0.438311
