@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,68.833333,0,344.166667,0,1,1,0.166667,1,0.833333,0.285714,1,1,0
1,68.833333,0,343.573276,0.593391,0.998276,1,0.166906,1,0.833094,0.286067,0.998563,1.001439,0
2,68.833333,0,342.979885,1.186782,0.996552,1,0.167147,1,0.832853,0.28642,0.997126,1.002882,0
3,68.833333,0,342.386494,1.780172,0.994828,1,0.167388,1,0.832612,0.286774,0.99569,1.004329,0
4,68.833333,0,341.793103,2.373563,0.993103,1,0.16763,1,0.83237,0.287129,0.994253,1.00578,0
5,68.833333,0,341.199713,2.966954,0.991379,1,0.167873,1,0.832127,0.287485,0.992816,1.007236,0
6,68.833333,0,340.606322,3.560345,0.989655,1,0.168116,1,0.831884,0.287841,0.991379,1.008696,0
7,68.833333,0,340.012931,4.153736,0.987931,1,0.16836,1,0.83164,0.288199,0.989943,1.01016,0
8,68.833333,0,339.41954,4.747126,0.986207,1,0.168605,1,0.831395,0.288557,0.988506,1.011628,0
9,68.833333,0,338.826149,5.340517,0.984483,1,0.16885,1,0.83115,0.288917,0.987069,1.0131,0
10,68.833333,0,338.232759,5.933908,0.982759,1,0.169096,1,0.830904,0.289277,0.985632,1.014577,0
11,68.833333,0,337.639368,6.527299,0.981034,1,0.169343,1,0.830657,0.289638,0.984195,1.016058,0
12,68.833333,0,337.045977,7.12069,0.97931,1,0.169591,1,0.830409,0.29,0.982759,1.017544,0
13,68.833333,0,336.452586,7.71408,0.977586,1,0.169839,1,0.830161,0.290363,0.981322,1.019034,0
14,68.833333,0,335.859195,8.307471,0.975862,1,0.170088,1,0.829912,0.290727,0.979885,1.020528,0
15,68.833333,0,335.265805,8.900862,0.974138,1,0.170338,1,0.829662,0.291092,0.978448,1.022026,0
16,68.833333,0,334.672414,9.494253,0.972414,1,0.170588,1,0.829412,0.291457,0.977011,1.023529,0
17,68.833333,0,334.079023,10.087644,0.97069,1,0.170839,1,0.829161,0.291824,0.975575,1.025037,0
18,68.833333,0,333.485632,10.681034,0.968966,1,0.171091,1,0.828909,0.292191,0.974138,1.026549,0
19,68.833333,0,332.410111,11.756555,0.965841,1,0.17155,1,0.82845,0.29286,0.971534,1.0293,0
20,68.833333,0,331.816721,12.349946,0.964116,1,0.171804,1,0.828196,0.29323,0.970097,1.030825,0
21,68.833333,0,330.7412,13.425467,0.960991,1,0.172267,1,0.827733,0.293903,0.967493,1.033599,0
22,68.833333,0,330.147809,14.018858,0.959267,1,0.172523,1,0.827477,0.294276,0.966056,1.035137,0
