@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,64,0,349,0,1,1,0.154964,1,0.845036,0.268344,1,1,0
1,64,0,280,69,0.802292,1,0.186047,1,0.813953,0.313725,0.83293,1.200581,0.000435
2,64,0,279,70,0.799427,1,0.186589,1,0.813411,0.314496,0.830508,1.204082,0.005
3,64,0,278,71,0.796562,1,0.187135,1,0.812865,0.315271,0.828087,1.207602,0.005588
4,64,0,277,72,0.793696,1,0.187683,1,0.812317,0.316049,0.825666,1.211144,0.006667
5,64,0,276,73,0.790831,1,0.188235,1,0.811765,0.316832,0.823245,1.214706,0.01
6,64,0,275,74,0.787966,1,0.188791,1,0.811209,0.317618,0.820823,1.218289,0.01
7,64,0,241,108,0.690544,1,0.209836,1,0.790164,0.346883,0.738499,1.354098,0.010968
8,64,0,240,109,0.687679,1,0.210526,1,0.789474,0.347826,0.736077,1.358553,0.012885
9,64,0,239,110,0.684814,1,0.211221,1,0.788779,0.348774,0.733656,1.363036,0.015
10,64,0,238,111,0.681948,1,0.211921,1,0.788079,0.349727,0.731235,1.36755,0.02
11,64,0,237,112,0.679083,1,0.212625,1,0.787375,0.350685,0.728814,1.372093,0.02
12,64,0,212,137,0.60745,1,0.231884,1,0.768116,0.376471,0.668281,1.496377,0.03
13,64,0,201,148,0.575931,1,0.241509,1,0.758491,0.389058,0.641646,1.558491,0.030435
14,64,0,200,149,0.573066,1,0.242424,1,0.757576,0.390244,0.639225,1.564394,0.036667
15,64,0,199,150,0.570201,1,0.243346,1,0.756654,0.391437,0.636804,1.570342,0.04
16,64,0,184,165,0.527221,1,0.258065,1,0.741935,0.410256,0.600484,1.665323,0.040714
17,64,0,183,166,0.524355,1,0.259109,1,0.740891,0.411576,0.598063,1.672065,0.043333
18,64,0,182,167,0.52149,1,0.260163,1,0.739837,0.412903,0.595642,1.678862,0.05
19,64,0,167,182,0.47851,1,0.277056,1,0.722944,0.433898,0.559322,1.787879,0.06
