@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,38,0,375,0,1,1,0.09201,1,0.90799,0.168514,1,1,0
1,37,1,160,215,0.426667,0.973684,0.187817,0.973684,0.812183,0.314894,0.476998,2.041277,0.0025
2,37,1,159,216,0.424,0.973684,0.188776,0.973684,0.811224,0.316239,0.474576,2.051692,0.01
3,37,1,157,218,0.418667,0.973684,0.190722,0.973684,0.809278,0.318966,0.469734,2.072843,0.01
4,37,1,126,249,0.336,0.973684,0.226994,0.973684,0.773006,0.368159,0.394673,2.467065,0.02
5,36,2,104,271,0.277333,0.947368,0.257143,0.947368,0.742857,0.404494,0.338983,2.794737,0.03
6,35,3,93,282,0.248,0.921053,0.273438,0.921053,0.726563,0.421687,0.309927,2.971834,0.04
7,35,3,85,290,0.226667,0.921053,0.291667,0.921053,0.708333,0.443038,0.290557,3.169956,0.05
8,35,3,77,298,0.205333,0.921053,0.3125,0.921053,0.6875,0.466667,0.271186,3.396382,0.06
9,35,3,74,301,0.197333,0.921053,0.321101,0.921053,0.678899,0.47619,0.263923,3.48986,0.07
10,35,3,68,307,0.181333,0.921053,0.339806,0.921053,0.660194,0.496454,0.249395,3.693153,0.08
11,34,4,62,313,0.165333,0.894737,0.354167,0.894737,0.645833,0.507463,0.232446,3.849232,0.09
12,34,4,57,318,0.152,0.894737,0.373626,0.894737,0.626374,0.527132,0.220339,4.060729,0.1
13,34,4,53,322,0.141333,0.894737,0.390805,0.894737,0.609195,0.544,0.210654,4.247429,0.11
14,34,4,50,325,0.133333,0.894737,0.404762,0.894737,0.595238,0.557377,0.20339,4.399123,0.13
15,34,4,46,329,0.122667,0.894737,0.425,0.894737,0.575,0.576271,0.193705,4.619079,0.13
16,34,4,45,330,0.12,0.894737,0.43038,0.894737,0.56962,0.581197,0.191283,4.677548,0.14
17,33,5,42,333,0.112,0.868421,0.44,0.868421,0.56,0.584071,0.181598,4.782105,0.15
18,33,5,37,338,0.098667,0.868421,0.471429,0.868421,0.528571,0.611111,0.169492,5.123684,0.16
19,33,5,35,340,0.093333,0.868421,0.485294,0.868421,0.514706,0.622642,0.164649,5.274381,0.17
20,33,5,34,341,0.090667,0.868421,0.492537,0.868421,0.507463,0.628571,0.162228,5.353103,0.18
21,33,5,32,343,0.085333,0.868421,0.507692,0.868421,0.492308,0.640777,0.157385,5.517814,0.19
22,33,5,29,346,0.077333,0.868421,0.532258,0.868421,0.467742,0.66,0.150121,5.784805,0.195
23,33,5,28,347,0.074667,0.868421,0.540984,0.868421,0.459016,0.666667,0.1477,5.879638,0.2
24,33,5,25,350,0.066667,0.868421,0.568966,0.868421,0.431034,0.6875,0.140436,6.183757,0.21
25,33,5,22,353,0.058667,0.868421,0.6,0.868421,0.4,0.709677,0.133172,6.521053,0.22
26,33,5,20,355,0.053333,0.868421,0.622642,0.868421,0.377358,0.725275,0.128329,6.76713,0.233022
27,33,5,19,356,0.050667,0.868421,0.634615,0.868421,0.365385,0.733333,0.125908,6.897267,0.24
28,33,5,17,358,0.045333,0.868421,0.66,0.868421,0.34,0.75,0.121065,7.173158,0.27
29,33,5,15,360,0.04,0.868421,0.6875,0.868421,0.3125,0.767442,0.116223,7.472039,0.28
30,33,5,14,361,0.037333,0.868421,0.702128,0.868421,0.297872,0.776471,0.113801,7.631019,0.29
31,32,6,10,365,0.026667,0.842105,0.761905,0.842105,0.238095,0.8,0.101695,8.280702,0.31
32,32,6,8,367,0.021333,0.842105,0.8,0.842105,0.2,0.820513,0.096852,8.694737,0.32
33,31,7,8,367,0.021333,0.815789,0.794872,0.815789,0.205128,0.805195,0.094431,8.639001,0.34
34,30,8,7,368,0.018667,0.789474,0.810811,0.789474,0.189189,0.8,0.089588,8.812233,0.366667
35,30,8,6,369,0.016,0.789474,0.833333,0.789474,0.166667,0.810811,0.087167,9.057018,0.4
