huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
80.78,6.68,72.01,4.88,41.81,3.7,5.5,4.03,38.7,3.84,SW
88.91,6.63,80.53,5.59,47.04,4.3,80.22,4.51,41.5,4.01,SW
79.97,6.37,69.26,5.28,43.07,3.9,75.35,4.04,38.31,3.34,SW
77.65,5.7,65.76,4.77,40.04,3.52,69.17,3.4,35.78,3.41,SW
62.8,4.84,52.09,3.73,33.95,2.72,56.27,2.96,31.88,3.13,SW
76.71,5.82,61.54,5.2,47.87,3.53,75.24,4.21,35.11,4.47,W
45.25,3.5,38.72,3.33,28.6,2.03,46.36,2.39,24.03,1.99,W
46.4,3.39,38.6,3.32,29,2.36,49.08,2.49,26.55,2.19,W
45.68,3.95,38.98,3.51,29.15,2.44,45.23,2.52,24.64,2.64,W
45.18,3.44,38.53,3.15,28.31,2.21,46.93,2.36,25.86,2.12,W
43.97,4.64,51.07,3.8,38.76,3.18,55.67,2.88,30.41,2.83,T
44.58,5.76,52.76,4.84,40.47,3.76,56.42,3.31,31.32,3.34,T
20.25,2.35,25.14,1.76,20.17,1.37,27.67,1.41,15.68,1.55,T
48.7,5.46,57.39,3.73,42.56,3.07,52.42,2.85,27.23,3.03,T
35.74,3.91,39.2,2.93,33.01,2.65,42.8,2.18,24.85,2.34,T
110.87,8.26,129.05,6.78,80.8,7.98,112.36,7.18,84.69,7.11,R
117.37,9.25,136.52,7,87.49,8.92,119.17,7.89,86.61,7.36,R
102.35,7.01,118.67,5.72,78.75,6.89,104.01,6.12,80.1,6.1,R
108.37,7.49,129.39,6,82.29,6.74,113.39,6.38,86.05,6.15,R
81.39,5.77,94.83,4.8,65.97,5.52,91.63,5.38,73.29,5.11,R
45.57,4.64,57.13,2.93,28.32,2.26,36.95,1.96,19.75,2.16,P
33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29,P
31.72,2.64,40,1.99,20.36,1.59,32.21,1.62,17.72,1.52,P
9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23,P
44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6,P
21.07,2,25.36,1.7,17.66,1.72,26.28,1.35,19.43,1.36,SO
21.46,1.97,25.44,1.73,17.77,1.71,27.01,1.56,19.06,1.26,SO
22.13,2.1,26.53,1.78,17.83,1.63,26.12,1.52,18.74,1.2,SO
21.82,2,26.73,1.77,17.53,1.59,25.82,1.39,18.79,1.37,SO
16.5,1.46,19.44,1.42,15.58,1.21,26.21,1.17,18.45,1.14,SO
